ARREST NUMBER,ARRESTED DATE TIME CHARGE,UMPD CASE NUMBER,RACE,SEX
23698,02/25/23 00:01,2023-00018633,White,Female
23701,02/03/23 12:00,2022-00095001,Black,Female
23707,03/10/23 00:28,2023-00022618,White,Female
23730,02/28/23 08:00,2023-00007486,White,Female
23736,03/31/23 19:54,2023-00029649,Black,Female
23742,04/07/23 00:44,2023-00031583,Hawaiian/Other Pacific Islander,Female
23743,04/07/23 00:44,2023-00031583,White,Female
23749,04/16/23 21:30,2023-00034804,White,Female
23754,04/21/23 23:23,2023-00036366,White,Female
23755,04/21/23 22:29,2023-00036366,White,Female
23756,04/21/23 23:59,2023-00036366,White,Female
23757,04/21/23 23:59,2023-00036366,White,Female
23778,05/07/23 04:48,2023-00040856,Asian,Female
23780,05/09/23 19:11,2023-00041570,White,Female
23796,05/29/23 01:18,2023-00047488,Black,Female
23800,06/15/23 02:08,2023-00052794,Black,Female
23812,06/27/23 10:30,2023-00056384,Asian,Female
23825,07/08/23 02:00,2023-00059661,Black,Female
23828,06/20/23 08:00,2023-00043740,White,Female
23829,07/15/23 03:30,2023-00061892,White,Female
23837,07/23/23 02:30,2023-00064414,White,Female
23840,07/24/23 19:12,2023-00065027,Black,Female
23845,07/26/23 12:00,2023-00057640,White,Female
23856,08/13/23 03:59,2023-00071589,White,Female
23859,08/23/23 02:15,2023-00074888,White,Female
23862,08/20/23 00:43,2023-00073885,White,Female
23864,09/01/23 22:59,2023-00078050,Asian,Female
23879,09/23/23 00:43,2023-00084418,White,Female
23882,10/07/23 02:12,2023-00088726,Black,Female
23885,10/06/23 02:18,2023-00088384,White,Female
23899,10/28/23 01:00,2023-00096983,Black,Female
23904,11/08/23 18:39,2023-00102842,Black,Female
23905,11/03/23 23:45,2023-00100261,Black,Female
23693,Handgun in Vehicle; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person,Handgun in Vehicle; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person,Handgun in Vehicle; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person,Handgun in Vehicle; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person
23733,Indecent Exposure,Indecent Exposure,Indecent Exposure,Indecent Exposure
23734,Indecent Exposure,Indecent Exposure,Indecent Exposure,Indecent Exposure
23689,Indecent Exposure; School Trespassing On Ground,Indecent Exposure; School Trespassing On Ground,Indecent Exposure; School Trespassing On Ground,Indecent Exposure; School Trespassing On Ground
23861,Knowingly driving uninsured vehicle,Knowingly driving uninsured vehicle,Knowingly driving uninsured vehicle,Knowingly driving uninsured vehicle
23663,01/03/23 00:45,2023-00000777,Asian/Pacific Islander,Male
23665,01/05/23 09:00,2022-00088391,Black,Male
23667,01/13/23 03:20,2023-00004351,Black,Male
23668,01/16/23 17:16,2023-00005501,Black,Male
23669,01/05/23 00:00,2022-00092715,Black,Male
23670,01/18/23 11:14,2023-00001082,White,Male
23671,01/20/23 23:39,2023-00006990,White,Male
23672,01/22/23 03:16,2023-00007393,Black,Male
23673,01/25/23 17:21,2023-00008423,White,Male
23674,01/27/23 01:10,2023-00008832,Black,Male
23675,01/25/23 23:31,2023-00008472,Black,Male
23676,02/01/23 10:48,2023-00010816,Black,Male
23677,01/25/23 20:47,2023-00008094,White,Male
23679,02/03/23 02:41,2023-00011370,White,Male
23681,02/11/23 22:49,2023-00014417,Black,Male
23682,02/05/23 01:46,2023-00012059,White,Male
23683,02/05/23 03:35,2023-00012071,Black,Male
23685,02/11/23 06:29,2023-00014222,White,Male
23686,02/12/23 00:00,2023-00014530,White,Male
23687,02/15/23 02:33,2023-00015275,White,Male
23688,02/17/23 00:57,2023-00015832,White,Male
23689,02/13/23 19:23,2023-00014992,Black,Male
23691,02/14/23 00:54,2023-00015040,White,Male
23692,02/11/23 02:54,2023-00014158,Black,Male
23693,02/17/23 03:12,2023-00015865,Black,Male
23694,02/27/23 01:43,2023-00019125,White,Male
23695,02/02/23 08:00,2022-00097391,Black,Male
23696,02/26/23 04:50,2023-00018915,White,Male
23697,02/26/23 02:38,2023-00018912,White,Male
23699,02/18/23 00:19,2023-00016216,White,Male
23700,02/27/23 23:55,2023-00019404,White,Male
23702,02/28/23 17:44,2023-00019678,Black,Male
23703,03/03/23 23:09,2023-00020772,Black,Male
23704,03/05/23 02:38,2023-00021102,Black,Male
23705,03/03/23 02:13,2023-00020425,Asian,Male
23708,02/23/23 08:00,2022-00073604,White,Male
23709,02/28/23 05:00,2023-00018664,Asian,Male
23710,03/07/23 23:05,2023-00022039,White,Male
23711,03/11/23 03:20,2023-00022965,White,Male
23712,02/24/23 08:00,2022-00048551,Black,Male
23713,03/06/23 02:41,2023-00021433,White,Male
23714,03/14/23 20:53,2023-00024042,Black,Male
23715,03/17/23 03:02,2023-00024709,Black,Male
23716,03/19/23 17:45,2023-00025680,Black,Male
23717,03/15/23 23:53,2023-00024367,Black,Male
23718,03/21/23 23:06,2023-00026430,White,Male
23720,03/24/23 16:39,2023-00027263,Black,Male
23721,03/25/23 23:45,2023-00027711,Asian,Male
23722,03/19/23 03:33,2023-00025506,White,Male
23723,03/25/23 01:43,2023-00027404,White,Male
