"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"1","2023-00000110","vandalism","NA","investigation pending","2022-12-31","NA","NA","NA","NA","NA"
"2","2023-00000111","vandalism","NA","unfounded","2022-12-31","NA","NA","NA","NA","NA"
"3","2023-00000669","lost property","NA","cbe","2022-12-26","NA","NA","NA","NA","NA"
"4","2023-00000777","dwi/dui","NA","arrest","2023-01-03","23663","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver failure to stop at stop sign line; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","asian/pacific islander","male","2023-01-03"
"5","2023-00000896","theft","NA","investigation pending","2022-12-31","NA","NA","NA","NA","NA"
"6","2023-00000914","dept property damage/loss","NA","active/pending","2022-12-21","NA","NA","NA","NA","NA"
"7","2023-00001082","theft","NA","arrest","2022-01-03","23670","Malicious Destruction Property/Value -$1000; THEFT: $1,500 TO UNDER $25,000-All Other; Unauth Removal of Motor Vehicle","white","male","2023-01-18"
"8","2023-00001287","injured officer","NA","cbe","2023-01-04","NA","NA","NA","NA","NA"
"9","2023-00001301","fire","NA","cbe","2023-01-04","NA","NA","NA","NA","NA"
"10","2023-00001570","cds violation","NA","active/pending","2023-01-05","NA","NA","NA","NA","NA"
"11","2023-00001612","assist other agency","vehicle tampering","cbe","2023-01-05","NA","NA","NA","NA","NA"
"12","2023-00001712","stolen motor vehicle","NA","investigation pending","2023-01-05","NA","NA","NA","NA","NA"
"13","2023-00001854","suspicious person/auto","NA","investigation pending","2023-01-05","NA","NA","NA","NA","NA"
"14","2023-00002154","vandalism","NA","investigation pending","2023-01-06","NA","NA","NA","NA","NA"
"15","2023-00002340","injured/sick person","NA","cbe","2023-01-07","NA","NA","NA","NA","NA"
"16","2023-00002790","theft","NA","investigation pending","2022-12-20","NA","NA","NA","NA","NA"
"17","2023-00002849","theft","NA","arrest","2023-01-08","23831","School Trespassing On Ground, THEFT SCHEME: $100 TO UNDER $1,500-Bicycle, Unauth Removal of Property","black","male","2023-07-12"
"18","2023-00003160","suspicious activity","NA","active/pending","2023-01-07","NA","NA","NA","NA","NA"
"19","2023-00003184","assist other agency","death investigation","cbe","2023-01-09","NA","NA","NA","NA","NA"
"20","2023-00003392","theft","NA","investigation pending","2022-12-23","NA","NA","NA","NA","NA"
"21","2023-00003414","theft","NA","investigation pending","2022-12-29","NA","NA","NA","NA","NA"
"22","2023-00003526","theft","NA","investigation pending","2023-01-09","NA","NA","NA","NA","NA"
"23","2023-00003731","cds violation","NA","active/pending","2023-01-11","NA","NA","NA","NA","NA"
"24","2023-00003800","theft","NA","unfounded","2023-01-11","NA","NA","NA","NA","NA"
"25","2023-00003848","assist other agency","death investigation","cbe","2023-01-10","NA","NA","NA","NA","NA"
"26","2023-00003874","injured/sick person","NA","cbe","2023-01-11","NA","NA","NA","NA","NA"
"27","2023-00004179","cds violation","NA","active/pending","2023-01-12","NA","NA","NA","NA","NA"
